eps,MSE_single,MSE_single_error, MSE_phaseI, MSE_phaseI_error, MSE_phaseII, MSE_phaseII_error, MSE_phaseI_perc, MSE_phaseI_perc_error,MSE_phaseII_perc, MSE_phaseII_perc_error
-1, 9.48, 0.6091337621455, 19.10, 0.4898424666376, 18.84, 0.6670100157766, -95.162517, 1.925135, -91.934251, 1.396051
-0.5, 9.38, 0.6091337621455, 9.10, 0.4898424666376, 8.84, 0.6670100157766, 2.98, 1.44012, 5.76, 1.296516
-0.01, 9.32, 0.7444470188793, 6.51, 0.9629824043294, 5.99, 0.3964454548165, 29.572806, 1.437457, 35.181837, 1.270388
0, 9.34, 0.0309141661362, 6.54, 0.0801034712655, 5.98, 0.4959333789663, 29.443205, 1.449485, 35.362649, 1.268365
0.01, 9.34, 0.7959603886882, 6.49, 0.8909710873541, 5.97, 0.3184165330993, 29.901494, 1.478989, 35.527554, 1.290674
0.5, 9.39, 0.6009440169301, 7.20, 0.40114602024, 6.28, 0.7581133600839, 22.933634, 3.007499, 32.501185, 2.465295
1, 9.43, 0.4162246008232, 9.50, 0.7618111789289, 7.54, 0.4218648933721, -0.74, 1.533074, 20.548644, 2.640752
